booking_id,date,time,city,pickup_location,drop_location,vehicle_type,ride_distance,booking_value,driver_rating,customer_rating,payment_method,wait_time,booking_status,cancelled_by_customer,cancelled_by_driver,customer_cancel_reason,driver_cancel_reason,booking_datetime,is_cancelled,is_completed,hour,day_of_week,is_weekend,is_peak_hour,fare_per_km
16,2024-01-01,05:00:00,Pune,Market,Airport,Auto,11.36,228.74,4.24,3.44,UPI,1.0,Completed,0,0,,,2024-01-01 05:00:00,0,1,5,0,0,0,20.135563380281692
17,2024-01-01,05:20:00,Bengaluru,Tech Park,Tech Park,Auto,6.86,209.03,4.23,4.12,Cash,5.29,Completed,0,0,,,2024-01-01 05:20:00,0,1,5,0,0,0,30.47084548104956
18,2024-01-01,05:40:00,Delhi,Airport,Mall,Prime Sedan,3.81,119.45,4.06,4.11,Wallet,4.06,Completed,0,0,,,2024-01-01 05:40:00,0,1,5,0,0,0,31.35170603674541
19,2024-01-01,06:00:00,Hyderabad,Hospital,Railway Station,Mini,12.31,232.94,4.47,4.08,Card,5.71,Completed,0,0,,,2024-01-01 06:00:00,0,1,6,0,0,0,18.922826969943134
20,2024-01-01,06:20:00,Bengaluru,Railway Station,University,Bike,2.72,84.65,4.47,5.0,Cash,5.07,Cancelled,0,0,Long wait time,Customer changed plans,2024-01-01 06:20:00,1,0,6,0,0,0,31.121323529411764
21,2024-01-01,06:40:00,Hyderabad,Airport,Market,Mini,4.39,122.84,4.03,4.63,Cash,20.38,Cancelled,1,1,Driver not moving,Long wait time,2024-01-01 06:40:00,1,0,6,0,0,0,27.98177676537586
22,2024-01-01,07:00:00,Hyderabad,Residential,Tech Park,SUV,8.12,192.32,4.09,3.86,Cash,7.62,Cancelled,1,0,Long wait time,Driver asked to cancel,2024-01-01 07:00:00,1,0,7,0,0,0,23.68472906403941
23,2024-01-01,07:20:00,Mumbai,University,Railway Station,Bike,13.31,262.57,4.42,3.81,Wallet,9.5,Cancelled,0,0,High fare,Driver not moving,2024-01-01 07:20:00,1,0,7,0,0,0,19.727272727272727
24,2024-01-01,07:40:00,Delhi,Tech Park,Railway Station,Auto,11.83,247.91,4.34,4.62,Cash,5.84,Cancelled,0,0,Driver not moving,Driver not moving,2024-01-01 07:40:00,1,0,7,0,0,0,20.956043956043956
25,2024-01-01,08:00:00,Chennai,Airport,Railway Station,Bike,9.16,254.56,4.14,3.75,UPI,6.55,Cancelled,0,0,High fare,Long wait time,2024-01-01 08:00:00,1,0,8,0,0,1,27.790393013100438
26,2024-01-01,08:20:00,Pune,Tech Park,Market,Mini,2.0,121.88,4.28,4.04,UPI,5.67,Cancelled,0,1,Driver not moving,High fare,2024-01-01 08:20:00,1,0,8,0,0,1,60.94
27,2024-01-01,08:40:00,Delhi,Airport,Tech Park,SUV,5.18,174.0,3.89,4.71,Card,5.75,Completed,0,0,,,2024-01-01 08:40:00,0,1,8,0,0,1,33.59073359073359
28,2024-01-01,09:00:00,Bengaluru,Market,Tech Park,Auto,6.06,152.61,4.58,4.06,Wallet,3.38,Cancelled,1,1,Customer changed plans,Driver asked to cancel,2024-01-01 09:00:00,1,0,9,0,0,1,25.183168316831686
29,2024-01-01,09:20:00,Mumbai,Railway Station,Mall,Prime Sedan,3.66,154.27,4.21,3.94,Cash,9.33,Cancelled,0,1,Driver not moving,Driver asked to cancel,2024-01-01 09:20:00,1,0,9,0,0,1,42.150273224043715
30,2024-01-01,09:40:00,Delhi,University,Market,SUV,1.53,109.09,4.2,3.93,Card,21.24,Completed,0,0,,,2024-01-01 09:40:00,0,1,9,0,0,1,71.30065359477125
31,2024-01-01,10:00:00,Hyderabad,Tech Park,Airport,Auto,8.39,262.44,4.52,3.85,Card,5.83,Completed,0,0,,,2024-01-01 10:00:00,0,1,10,0,0,1,31.280095351609056
32,2024-01-01,10:20:00,Delhi,Market,Residential,SUV,12.07,339.7,4.72,4.73,Cash,2.39,Cancelled,0,0,High fare,High fare,2024-01-01 10:20:00,1,0,10,0,0,1,28.144159072079535
33,2024-01-01,10:40:00,Mumbai,Railway Station,Tech Park,Prime Sedan,5.72,155.78,4.35,4.33,UPI,10.88,Cancelled,1,0,Long wait time,Customer changed plans,2024-01-01 10:40:00,1,0,10,0,0,1,27.234265734265737
34,2024-01-01,11:00:00,Pune,Airport,Tech Park,Mini,13.21,326.52,4.13,4.12,Wallet,15.61,Cancelled,1,0,Driver not moving,Driver asked to cancel,2024-01-01 11:00:00,1,0,11,0,0,0,24.717638152914457
35,2024-01-01,11:20:00,Bengaluru,Residential,Residential,Bike,2.44,88.87,4.49,4.17,Cash,3.55,Completed,0,0,,,2024-01-01 11:20:00,0,1,11,0,0,0,36.42213114754099
36,2024-01-01,11:40:00,Pune,Mall,Railway Station,Mini,3.48,97.75,4.37,4.57,Wallet,1.92,Completed,0,0,,,2024-01-01 11:40:00,0,1,11,0,0,0,28.089080459770116
37,2024-01-01,12:00:00,Chennai,Airport,Mall,Bike,8.27,198.43,4.46,4.02,Wallet,8.64,Cancelled,1,1,Driver not moving,High fare,2024-01-01 12:00:00,1,0,12,0,0,0,23.993954050785977
38,2024-01-01,12:20:00,Chennai,Hospital,University,Bike,5.37,127.42,4.63,4.25,Cash,5.97,Completed,0,0,,,2024-01-01 12:20:00,0,1,12,0,0,0,23.728119180633147
39,2024-01-01,12:40:00,Hyderabad,Market,Market,Prime Sedan,11.43,226.43,4.29,3.83,Wallet,8.08,Cancelled,1,0,Customer changed plans,Driver asked to cancel,2024-01-01 12:40:00,1,0,12,0,0,0,19.810148731408574
40,2024-01-01,13:00:00,Mumbai,Hospital,Market,Prime Sedan,10.25,207.97,4.71,4.95,Cash,5.5,Cancelled,1,0,Customer changed plans,Customer changed plans,2024-01-01 13:00:00,1,0,13,0,0,0,20.289756097560975
41,2024-01-01,13:20:00,Chennai,Railway Station,Railway Station,SUV,5.65,148.85,4.15,4.44,UPI,4.63,Completed,0,0,,,2024-01-01 13:20:00,0,1,13,0,0,0,26.34513274336283
42,2024-01-01,13:40:00,Pune,Residential,Hospital,Auto,2.65,92.15,4.11,3.67,Wallet,2.54,Cancelled,1,1,Driver asked to cancel,Driver asked to cancel,2024-01-01 13:40:00,1,0,13,0,0,0,34.77358490566038
43,2024-01-01,14:00:00,Mumbai,Airport,Tech Park,Mini,5.18,149.69,4.66,3.99,UPI,7.34,Cancelled,1,0,High fare,Driver asked to cancel,2024-01-01 14:00:00,1,0,14,0,0,0,28.897683397683398
44,2024-01-01,14:20:00,Chennai,University,University,Mini,10.41,269.24,4.5,3.96,Card,1.65,Completed,0,0,,,2024-01-01 14:20:00,0,1,14,0,0,0,25.86359269932757
45,2024-01-01,14:40:00,Bengaluru,Hospital,Market,Auto,11.73,261.11,4.29,4.16,Wallet,9.3,Cancelled,0,1,Driver not moving,Long wait time,2024-01-01 14:40:00,1,0,14,0,0,0,22.26001705029838
46,2024-01-01,15:00:00,Mumbai,University,Tech Park,Prime Sedan,5.38,154.43,4.34,5.0,Card,8.87,Cancelled,1,0,Long wait time,Driver not moving,2024-01-01 15:00:00,1,0,15,0,0,0,28.704460966542754
47,2024-01-01,15:20:00,Pune,University,Market,Mini,1.52,71.59,4.25,4.04,Cash,7.13,Completed,0,0,,,2024-01-01 15:20:00,0,1,15,0,0,0,47.098684210526315
48,2024-01-01,15:40:00,Delhi,University,University,Mini,2.32,80.33,4.28,4.16,Cash,12.82,Completed,0,0,,,2024-01-01 15:40:00,0,1,15,0,0,0,34.625
49,2024-01-01,16:00:00,Chennai,Airport,Railway Station,Bike,9.87,213.94,3.92,3.91,Cash,4.3,Cancelled,0,1,Driver not moving,High fare,2024-01-01 16:00:00,1,0,16,0,0,0,21.675785207700102
50,2024-01-01,16:20:00,Bengaluru,Tech Park,University,Mini,5.58,145.52,4.08,4.31,UPI,4.18,Cancelled,1,1,High fare,High fare,2024-01-01 16:20:00,1,0,16,0,0,0,26.078853046594983
51,2024-01-01,16:40:00,Pune,Residential,Market,Mini,5.68,167.4,4.3,3.93,Cash,3.93,Cancelled,1,0,High fare,Driver asked to cancel,2024-01-01 16:40:00,1,0,16,0,0,0,29.471830985915496
52,2024-01-01,17:00:00,Delhi,Airport,Railway Station,Mini,3.44,95.1,3.8,3.9,Cash,6.19,Completed,0,0,,,2024-01-01 17:00:00,0,1,17,0,0,1,27.6453488372093
53,2024-01-01,17:20:00,Hyderabad,Hospital,University,Bike,3.39,101.44,3.59,4.02,Wallet,4.94,Completed,0,0,,,2024-01-01 17:20:00,0,1,17,0,0,1,29.92330383480826
54,2024-01-01,17:40:00,Mumbai,University,Residential,Mini,13.06,274.89,3.79,4.28,Cash,3.82,Cancelled,0,0,High fare,Driver not moving,2024-01-01 17:40:00,1,0,17,0,0,1,21.04823889739663
55,2024-01-01,18:00:00,Delhi,Railway Station,Mall,Mini,10.1,273.77,4.76,4.16,Wallet,4.09,Cancelled,1,1,Driver asked to cancel,High fare,2024-01-01 18:00:00,1,0,18,0,0,1,27.105940594059405
56,2024-01-01,18:20:00,Chennai,Airport,Residential,Auto,4.67,161.63,5.0,4.22,Card,6.9,Completed,0,0,,,2024-01-01 18:20:00,0,1,18,0,0,1,34.610278372591004
57,2024-01-01,18:40:00,Hyderabad,Market,Tech Park,Auto,7.87,216.39,4.45,4.62,Cash,11.97,Completed,0,0,,,2024-01-01 18:40:00,0,1,18,0,0,1,27.495552731893262
58,2024-01-01,19:00:00,Hyderabad,Market,Railway Station,Prime Sedan,8.81,201.06,4.29,3.68,Card,3.31,Cancelled,1,1,High fare,Customer changed plans,2024-01-01 19:00:00,1,0,19,0,0,1,22.821793416572078
59,2024-01-01,19:20:00,Chennai,Mall,University,Mini,20.09,387.44,4.75,4.31,UPI,1.0,Completed,0,0,,,2024-01-01 19:20:00,0,1,19,0,0,1,19.285216525634645
60,2024-01-01,19:40:00,Hyderabad,Hospital,Hospital,Prime Sedan,3.15,158.02,3.97,4.76,UPI,8.5,Completed,0,0,,,2024-01-01 19:40:00,0,1,19,0,0,1,50.16507936507937
61,2024-01-01,20:00:00,Mumbai,Market,Residential,Bike,8.73,225.68,4.46,4.74,Wallet,2.4,Cancelled,0,0,Customer changed plans,Customer changed plans,2024-01-01 20:00:00,1,0,20,0,0,1,25.851088201603666
62,2024-01-01,20:20:00,Mumbai,Residential,Residential,Bike,13.02,357.09,4.46,4.31,Wallet,11.95,Cancelled,0,0,Long wait time,Driver not moving,2024-01-01 20:20:00,1,0,20,0,0,1,27.42626728110599
63,2024-01-01,20:40:00,Delhi,Railway Station,University,SUV,18.66,408.06,4.26,4.53,Wallet,9.54,Cancelled,1,1,Customer changed plans,High fare,2024-01-01 20:40:00,1,0,20,0,0,1,21.868167202572348
64,2024-01-01,21:00:00,Bengaluru,Hospital,University,SUV,4.49,136.27,3.7,4.8,UPI,10.14,Cancelled,1,0,High fare,Customer changed plans,2024-01-01 21:00:00,1,0,21,0,0,1,30.34966592427617
65,2024-01-01,21:20:00,Chennai,Airport,Market,Mini,5.53,195.62,4.74,3.89,Cash,5.7,Completed,0,0,,,2024-01-01 21:20:00,0,1,21,0,0,1,35.374321880650996
66,2024-01-01,21:40:00,Delhi,Mall,University,Auto,11.5,304.64,4.15,4.07,Cash,11.53,Completed,0,0,,,2024-01-01 21:40:00,0,1,21,0,0,1,26.490434782608695
67,2024-01-01,22:00:00,Chennai,Railway Station,Airport,Auto,1.97,78.25,4.1,3.98,Cash,7.28,Completed,0,0,,,2024-01-01 22:00:00,0,1,22,0,0,0,39.72081218274112
68,2024-01-01,22:20:00,Bengaluru,Railway Station,Mall,Prime Sedan,9.31,173.19,3.82,4.14,Card,6.86,Completed,0,0,,,2024-01-01 22:20:00,0,1,22,0,0,0,18.602577873254564
69,2024-01-01,22:40:00,Pune,Railway Station,Residential,Prime Sedan,24.56,487.4,4.56,3.86,Card,6.04,Cancelled,0,0,Driver not moving,Driver not moving,2024-01-01 22:40:00,1,0,22,0,0,0,19.84527687296417
70,2024-01-01,23:00:00,Chennai,Airport,Market,SUV,9.97,251.43,4.48,4.04,Wallet,7.85,Completed,0,0,,,2024-01-01 23:00:00,0,1,23,0,0,0,25.21865596790371
71,2024-01-01,23:20:00,Bengaluru,Residential,Market,Bike,0.82,61.68,4.54,4.48,Card,1.39,Completed,0,0,,,2024-01-01 23:20:00,0,1,23,0,0,0,75.21951219512195
72,2024-01-01,23:40:00,Pune,Mall,Tech Park,Auto,3.85,112.91,4.19,4.07,UPI,3.79,Completed,0,0,,,2024-01-01 23:40:00,0,1,23,0,0,0,29.327272727272724
73,2024-01-02,00:00:00,Chennai,University,Railway Station,Bike,4.6,136.71,4.24,4.31,Card,3.79,Completed,0,0,,,2024-01-02 00:00:00,0,1,0,1,0,0,29.71956521739131
74,2024-01-02,00:20:00,Mumbai,Residential,Market,Prime Sedan,14.94,274.34,4.1,3.9,Cash,5.06,Cancelled,0,1,Customer changed plans,Driver not moving,2024-01-02 00:20:00,1,0,0,1,0,0,18.362784471218205
75,2024-01-02,00:40:00,Bengaluru,Residential,Residential,Mini,6.63,173.77,4.43,4.6,Wallet,2.29,Completed,0,0,,,2024-01-02 00:40:00,0,1,0,1,0,0,26.209653092006036
76,2024-01-02,01:00:00,Pune,University,Railway Station,Prime Sedan,1.54,73.02,4.34,3.55,Card,3.18,Completed,0,0,,,2024-01-02 01:00:00,0,1,1,1,0,0,47.41558441558441
77,2024-01-02,01:20:00,Chennai,Hospital,Residential,Prime Sedan,7.18,169.78,4.24,4.14,Wallet,1.78,Completed,0,0,,,2024-01-02 01:20:00,0,1,1,1,0,0,23.64623955431755
78,2024-01-02,01:40:00,Delhi,University,Airport,Auto,8.2,239.08,3.92,4.67,UPI,3.14,Completed,0,0,,,2024-01-02 01:40:00,0,1,1,1,0,0,29.156097560975613
79,2024-01-02,02:00:00,Chennai,Market,Mall,Prime Sedan,5.06,136.31,4.24,4.1,Card,2.64,Completed,0,0,,,2024-01-02 02:00:00,0,1,2,1,0,0,26.938735177865617
80,2024-01-02,02:20:00,Bengaluru,Tech Park,Residential,Mini,3.34,86.54,3.83,3.86,Wallet,3.08,Completed,0,0,,,2024-01-02 02:20:00,0,1,2,1,0,0,25.910179640718567
81,2024-01-02,02:40:00,Chennai,Market,University,SUV,26.18,557.01,4.13,4.75,Wallet,9.68,Completed,0,0,,,2024-01-02 02:40:00,0,1,2,1,0,0,21.276165011459128
82,2024-01-02,03:00:00,Pune,Railway Station,University,Auto,13.05,372.49,4.06,3.91,UPI,5.17,Cancelled,1,1,Driver asked to cancel,Long wait time,2024-01-02 03:00:00,1,0,3,1,0,0,28.54329501915709
83,2024-01-02,03:20:00,Delhi,Railway Station,Residential,Prime Sedan,13.8,238.29,4.27,4.11,Card,4.52,Cancelled,1,0,High fare,Customer changed plans,2024-01-02 03:20:00,1,0,3,1,0,0,17.267391304347825
84,2024-01-02,03:40:00,Delhi,Airport,Airport,Bike,6.64,163.72,4.44,4.09,UPI,12.75,Cancelled,0,0,Customer changed plans,Long wait time,2024-01-02 03:40:00,1,0,3,1,0,0,24.656626506024097
85,2024-01-02,04:00:00,Hyderabad,University,Mall,Auto,4.43,119.8,4.29,4.03,Cash,6.97,Cancelled,0,1,Driver asked to cancel,Long wait time,2024-01-02 04:00:00,1,0,4,1,0,0,27.04288939051919
86,2024-01-02,04:20:00,Bengaluru,Market,Hospital,Auto,5.25,143.77,4.14,4.75,Wallet,7.38,Completed,0,0,,,2024-01-02 04:20:00,0,1,4,1,0,0,27.384761904761906
87,2024-01-02,04:40:00,Bengaluru,Airport,Airport,Mini,2.43,83.42,4.26,3.57,Cash,6.05,Completed,0,0,,,2024-01-02 04:40:00,0,1,4,1,0,0,34.32921810699588
88,2024-01-02,05:00:00,Mumbai,Residential,Airport,Bike,19.85,403.9,4.4,3.94,Cash,9.84,Completed,0,0,,,2024-01-02 05:00:00,0,1,5,1,0,0,20.347607052896723
89,2024-01-02,05:20:00,Chennai,Residential,Airport,SUV,6.84,136.09,4.5,4.19,Card,10.91,Cancelled,1,1,Driver asked to cancel,Driver asked to cancel,2024-01-02 05:20:00,1,0,5,1,0,0,19.896198830409357
90,2024-01-02,05:40:00,Bengaluru,Residential,University,SUV,17.12,395.23,4.82,4.48,UPI,6.77,Cancelled,0,0,Driver asked to cancel,Long wait time,2024-01-02 05:40:00,1,0,5,1,0,0,23.085864485981308
91,2024-01-02,06:00:00,Pune,Market,Market,Prime Sedan,5.44,133.12,5.0,3.73,Wallet,9.76,Completed,0,0,,,2024-01-02 06:00:00,0,1,6,1,0,0,24.470588235294116
92,2024-01-02,06:20:00,Bengaluru,Airport,Airport,Auto,10.06,280.58,4.86,4.53,Cash,7.84,Cancelled,1,0,Customer changed plans,High fare,2024-01-02 06:20:00,1,0,6,1,0,0,27.890656063618287
93,2024-01-02,06:40:00,Chennai,Tech Park,Market,Mini,8.51,220.92,4.35,4.43,Cash,6.96,Cancelled,1,0,Driver not moving,Driver asked to cancel,2024-01-02 06:40:00,1,0,6,1,0,0,25.960047003525265
94,2024-01-02,07:00:00,Delhi,Railway Station,Residential,Auto,2.21,79.77,4.02,3.64,Card,4.22,Completed,0,0,,,2024-01-02 07:00:00,0,1,7,1,0,0,36.095022624434385
95,2024-01-02,07:20:00,Delhi,Mall,University,Auto,21.4,477.93,4.22,3.98,UPI,3.01,Cancelled,1,0,Customer changed plans,Driver not moving,2024-01-02 07:20:00,1,0,7,1,0,0,22.33317757009346
96,2024-01-02,07:40:00,Hyderabad,Hospital,Airport,Mini,5.56,159.67,4.42,4.13,Card,1.42,Cancelled,1,1,High fare,Driver not moving,2024-01-02 07:40:00,1,0,7,1,0,0,28.717625899280577
97,2024-01-02,08:00:00,Hyderabad,Airport,Hospital,Bike,2.9,115.01,4.2,4.75,Wallet,15.15,Cancelled,0,0,High fare,High fare,2024-01-02 08:00:00,1,0,8,1,0,1,39.65862068965517
98,2024-01-02,08:20:00,Chennai,University,Tech Park,Mini,11.56,244.02,4.23,4.82,Cash,9.83,Cancelled,0,0,Customer changed plans,Driver not moving,2024-01-02 08:20:00,1,0,8,1,0,1,21.108996539792386
99,2024-01-02,08:40:00,Chennai,Railway Station,University,Mini,7.44,203.71,4.58,4.59,Card,3.89,Cancelled,1,0,Customer changed plans,Long wait time,2024-01-02 08:40:00,1,0,8,1,0,1,27.38037634408602
100,2024-01-02,09:00:00,Pune,Residential,Residential,Bike,9.47,172.2,4.28,4.0,UPI,1.18,Cancelled,1,0,Driver asked to cancel,Long wait time,2024-01-02 09:00:00,1,0,9,1,0,1,18.183738120380145
101,2024-01-02,09:20:00,Chennai,Residential,Railway Station,Auto,7.97,226.61,4.46,4.36,Cash,7.88,Cancelled,1,1,Customer changed plans,Driver asked to cancel,2024-01-02 09:20:00,1,0,9,1,0,1,28.43287327478043
102,2024-01-02,09:40:00,Delhi,Mall,Tech Park,Auto,0.93,94.43,4.27,4.38,Wallet,4.34,Completed,0,0,,,2024-01-02 09:40:00,0,1,9,1,0,1,101.53763440860216
103,2024-01-02,10:00:00,Hyderabad,Market,Market,Prime Sedan,3.74,146.12,3.65,3.72,UPI,10.19,Cancelled,1,0,High fare,High fare,2024-01-02 10:00:00,1,0,10,1,0,1,39.06951871657754
104,2024-01-02,10:20:00,Bengaluru,Hospital,Residential,Mini,3.62,145.75,3.65,4.17,Card,2.48,Cancelled,0,1,Driver not moving,Driver asked to cancel,2024-01-02 10:20:00,1,0,10,1,0,1,40.26243093922652
105,2024-01-02,10:40:00,Hyderabad,Hospital,Railway Station,SUV,13.67,316.27,4.48,4.93,UPI,3.77,Cancelled,1,0,Long wait time,Driver not moving,2024-01-02 10:40:00,1,0,10,1,0,1,23.136064374542794
106,2024-01-02,11:00:00,Delhi,Hospital,Market,Auto,7.64,184.06,4.32,3.75,Cash,4.69,Completed,0,0,,,2024-01-02 11:00:00,0,1,11,1,0,0,24.091623036649217
107,2024-01-02,11:20:00,Bengaluru,Mall,Railway Station,Mini,10.47,158.88,4.4,4.39,UPI,8.65,Completed,0,0,,,2024-01-02 11:20:00,0,1,11,1,0,0,15.174785100286531
108,2024-01-02,11:40:00,Chennai,Residential,Mall,Bike,5.82,158.35,4.45,4.26,Card,3.23,Completed,0,0,,,2024-01-02 11:40:00,0,1,11,1,0,0,27.207903780068726
109,2024-01-02,12:00:00,Chennai,Market,Hospital,Bike,10.81,235.99,4.43,3.84,Wallet,7.95,Cancelled,1,1,Long wait time,Driver not moving,2024-01-02 12:00:00,1,0,12,1,0,0,21.830712303422757
110,2024-01-02,12:20:00,Pune,University,Mall,Mini,6.65,157.86,4.33,4.57,UPI,1.51,Completed,0,0,,,2024-01-02 12:20:00,0,1,12,1,0,0,23.738345864661653
111,2024-01-02,12:40:00,Pune,Hospital,Market,Auto,6.31,140.56,4.8,4.0,Wallet,5.21,Completed,0,0,,,2024-01-02 12:40:00,0,1,12,1,0,0,22.275752773375597
112,2024-01-02,13:00:00,Chennai,Airport,Tech Park,Bike,8.47,166.21,4.42,4.79,Wallet,13.83,Cancelled,0,0,Driver not moving,Customer changed plans,2024-01-02 13:00:00,1,0,13,1,0,0,19.623376623376622
113,2024-01-02,13:20:00,Bengaluru,Mall,Market,Bike,7.97,180.9,4.43,5.0,Card,17.78,Cancelled,0,0,High fare,High fare,2024-01-02 13:20:00,1,0,13,1,0,0,22.697616060225847
114,2024-01-02,13:40:00,Hyderabad,University,University,Mini,31.41,609.72,4.17,4.28,UPI,11.35,Completed,0,0,,,2024-01-02 13:40:00,0,1,13,1,0,0,19.411652340019103
115,2024-01-02,14:00:00,Mumbai,University,Airport,Mini,3.71,98.08,3.94,5.0,Cash,1.14,Completed,0,0,,,2024-01-02 14:00:00,0,1,14,1,0,0,26.4366576819407
116,2024-01-02,14:20:00,Chennai,Residential,University,Auto,1.98,85.92,5.0,4.31,Card,4.83,Completed,0,0,,,2024-01-02 14:20:00,0,1,14,1,0,0,43.3939393939394
117,2024-01-02,14:40:00,Mumbai,Residential,Mall,Mini,9.33,183.68,4.64,3.28,Cash,5.33,Completed,0,0,,,2024-01-02 14:40:00,0,1,14,1,0,0,19.687031082529476
118,2024-01-02,15:00:00,Bengaluru,University,Mall,Prime Sedan,4.15,116.25,4.44,4.12,Cash,10.39,Completed,0,0,,,2024-01-02 15:00:00,0,1,15,1,0,0,28.012048192771083
119,2024-01-02,15:20:00,Delhi,University,Railway Station,Prime Sedan,0.81,60.63,4.27,4.22,Card,5.95,Completed,0,0,,,2024-01-02 15:20:00,0,1,15,1,0,0,74.85185185185185
120,2024-01-02,15:40:00,Chennai,University,Airport,Mini,3.04,88.17,4.57,5.0,UPI,2.34,Completed,0,0,,,2024-01-02 15:40:00,0,1,15,1,0,0,29.003289473684212
121,2024-01-02,16:00:00,Pune,Residential,Railway Station,SUV,27.24,341.02,4.17,4.3,UPI,11.47,Cancelled,0,1,Long wait time,High fare,2024-01-02 16:00:00,1,0,16,1,0,0,12.519089574155654
122,2024-01-02,16:20:00,Mumbai,Airport,Hospital,Bike,3.63,103.17,4.6,3.27,Wallet,16.34,Completed,0,0,,,2024-01-02 16:20:00,0,1,16,1,0,0,28.421487603305785
123,2024-01-02,16:40:00,Bengaluru,Airport,Airport,Mini,1.39,69.33,4.87,4.44,Wallet,9.33,Completed,0,0,,,2024-01-02 16:40:00,0,1,16,1,0,0,49.87769784172662
124,2024-01-02,17:00:00,Bengaluru,Railway Station,Hospital,SUV,26.19,568.91,4.32,4.3,UPI,3.11,Completed,0,0,,,2024-01-02 17:00:00,0,1,17,1,0,1,21.722413134784265
125,2024-01-02,17:20:00,Pune,Airport,Hospital,Bike,2.93,93.05,4.89,4.17,Cash,18.89,Cancelled,0,1,Driver asked to cancel,Driver not moving,2024-01-02 17:20:00,1,0,17,1,0,1,31.75767918088737
126,2024-01-02,17:40:00,Delhi,Tech Park,University,SUV,37.25,721.73,4.26,4.25,UPI,9.92,Cancelled,1,0,Driver asked to cancel,High fare,2024-01-02 17:40:00,1,0,17,1,0,1,19.375302013422818
127,2024-01-02,18:00:00,Pune,Hospital,Railway Station,Bike,5.63,206.56,3.73,4.77,Wallet,8.83,Cancelled,0,0,Long wait time,High fare,2024-01-02 18:00:00,1,0,18,1,0,1,36.68916518650089
