city,vehicle_type,distance_bucket,bookings,cancellation_rate,avg_booking_value,avg_wait_time
Chennai,Prime Sedan,medium,302,0.40397350993377484,148.60579470198675,6.618311258278146
Delhi,Bike,medium,348,0.40229885057471265,147.0713793103448,6.184454022988506
Chennai,Mini,medium,480,0.4,148.5100833333333,6.307437500000001
Pune,Prime Sedan,medium,297,0.39730639730639733,147.2162962962963,6.430808080808081
Pune,Auto,medium,409,0.39364303178484106,148.27838630806846,6.236259168704157
Chennai,Bike,medium,330,0.3878787878787879,146.39060606060607,6.808515151515151
Mumbai,Mini,medium,444,0.38738738738738737,147.26903153153154,6.418603603603604
Delhi,Auto,medium,400,0.385,147.830775,6.33915
Bengaluru,Bike,medium,326,0.3834355828220859,148.79564417177914,6.90898773006135
Pune,Mini,medium,467,0.37901498929336186,149.55533190578157,5.998222698072805
Hyderabad,Bike,medium,335,0.373134328358209,146.34316417910446,6.950776119402986
Mumbai,SUV,medium,166,0.3614457831325301,150.68578313253013,6.349096385542169
Delhi,Mini,medium,457,0.3610503282275711,149.5836761487965,6.145601750547046
Hyderabad,SUV,short,63,0.31746031746031744,86.10190476190476,6.755079365079365
Mumbai,Prime Sedan,short,90,0.23333333333333334,88.27388888888889,6.690444444444444
Chennai,SUV,short,58,0.22413793103448276,87.08603448275862,6.12448275862069
Bengaluru,Auto,short,142,0.21830985915492956,89.0669014084507,5.8162676056338025
Pune,Mini,short,175,0.21714285714285714,87.04554285714285,6.529828571428571
Mumbai,Bike,short,132,0.21212121212121213,90.02477272727273,6.868333333333333
Chennai,Auto,short,137,0.2116788321167883,87.67007299270072,6.682043795620438
Bengaluru,SUV,short,49,0.20408163265306123,87.84142857142857,6.09530612244898
Mumbai,Mini,short,156,0.1987179487179487,89.02820512820513,6.103461538461539
Bengaluru,Mini,short,146,0.19863013698630136,88.26123287671233,6.324041095890411
Hyderabad,Mini,short,152,0.19736842105263158,88.30013157894737,5.784078947368421
Pune,Auto,short,117,0.19658119658119658,86.98786324786325,6.455042735042735
Pune,Prime Sedan,short,93,0.1935483870967742,87.19,5.735806451612903
Bengaluru,Bike,short,116,0.1896551724137931,87.49672413793104,5.9656896551724135
Delhi,Auto,short,140,0.18571428571428572,86.65107142857143,6.174357142857143
Mumbai,SUV,short,54,0.18518518518518517,85.08611111111111,6.375740740740741
Chennai,Bike,short,104,0.18269230769230768,88.89788461538461,6.294519230769231
Delhi,Prime Sedan,short,118,0.17796610169491525,88.9063559322034,6.431186440677966
Delhi,SUV,short,68,0.17647058823529413,87.81661764705882,6.915147058823529
Chennai,Prime Sedan,short,98,0.17346938775510204,90.85969387755102,8.055816326530612
Pune,SUV,short,52,0.17307692307692307,86.6703846153846,5.279807692307693
Chennai,Mini,short,168,0.17261904761904762,85.59583333333333,6.30095238095238
Pune,Bike,short,96,0.16666666666666666,86.87989583333332,7.2425
Hyderabad,Auto,short,120,0.16666666666666666,88.687,6.65675
Bengaluru,Prime Sedan,short,116,0.15517241379310345,89.7826724137931,6.565431034482759
Hyderabad,Prime Sedan,short,126,0.15079365079365079,89.58142857142857,6.416507936507936
Hyderabad,Bike,short,111,0.14414414414414414,89.01495495495496,6.212162162162162
Delhi,Bike,short,98,0.14285714285714285,88.41602040816326,6.224591836734694
Mumbai,Auto,short,143,0.13986013986013987,86.62321678321679,6.662867132867133
Delhi,Mini,short,163,0.13496932515337423,88.70607361963191,5.912515337423313
