booking_id,booking_datetime,city,pickup_location,drop_location,vehicle_type,payment_method,booking_status,is_cancelled,ride_distance,booking_value,driver_rating,customer_rating,wait_time,hour,day_of_week,is_weekend,is_peak_hour,fare_per_km,customer_cancel_reason,driver_cancel_reason
77,2024-01-02 01:20:00,Chennai,Hospital,Residential,Prime Sedan,Wallet,Completed,0,7.18,169.78,4.24,4.14,1.78,1,1,0,0,23.64623955431755,,
78,2024-01-02 01:40:00,Delhi,University,Airport,Auto,UPI,Completed,0,8.2,239.08,3.92,4.67,3.14,1,1,0,0,29.156097560975613,,
79,2024-01-02 02:00:00,Chennai,Market,Mall,Prime Sedan,Card,Completed,0,5.06,136.31,4.24,4.1,2.64,2,1,0,0,26.938735177865617,,
80,2024-01-02 02:20:00,Bengaluru,Tech Park,Residential,Mini,Wallet,Completed,0,3.34,86.54,3.83,3.86,3.08,2,1,0,0,25.910179640718567,,
81,2024-01-02 02:40:00,Chennai,Market,University,SUV,Wallet,Completed,0,26.18,557.01,4.13,4.75,9.68,2,1,0,0,21.276165011459128,,
82,2024-01-02 03:00:00,Pune,Railway Station,University,Auto,UPI,Cancelled,1,13.05,372.49,4.06,3.91,5.17,3,1,0,0,28.54329501915709,Driver asked to cancel,Long wait time
83,2024-01-02 03:20:00,Delhi,Railway Station,Residential,Prime Sedan,Card,Cancelled,1,13.8,238.29,4.27,4.11,4.52,3,1,0,0,17.267391304347825,High fare,Customer changed plans
84,2024-01-02 03:40:00,Delhi,Airport,Airport,Bike,UPI,Cancelled,1,6.64,163.72,4.44,4.09,12.75,3,1,0,0,24.656626506024097,Customer changed plans,Long wait time
85,2024-01-02 04:00:00,Hyderabad,University,Mall,Auto,Cash,Cancelled,1,4.43,119.8,4.29,4.03,6.97,4,1,0,0,27.04288939051919,Driver asked to cancel,Long wait time
86,2024-01-02 04:20:00,Bengaluru,Market,Hospital,Auto,Wallet,Completed,0,5.25,143.77,4.14,4.75,7.38,4,1,0,0,27.384761904761906,,
87,2024-01-02 04:40:00,Bengaluru,Airport,Airport,Mini,Cash,Completed,0,2.43,83.42,4.26,3.57,6.05,4,1,0,0,34.32921810699588,,
88,2024-01-02 05:00:00,Mumbai,Residential,Airport,Bike,Cash,Completed,0,19.85,403.9,4.4,3.94,9.84,5,1,0,0,20.347607052896723,,
89,2024-01-02 05:20:00,Chennai,Residential,Airport,SUV,Card,Cancelled,1,6.84,136.09,4.5,4.19,10.91,5,1,0,0,19.89619883040936,Driver asked to cancel,Driver asked to cancel
90,2024-01-02 05:40:00,Bengaluru,Residential,University,SUV,UPI,Cancelled,1,17.12,395.23,4.82,4.48,6.77,5,1,0,0,23.085864485981308,Driver asked to cancel,Long wait time
91,2024-01-02 06:00:00,Pune,Market,Market,Prime Sedan,Wallet,Completed,0,5.44,133.12,5.0,3.73,9.76,6,1,0,0,24.47058823529412,,
92,2024-01-02 06:20:00,Bengaluru,Airport,Airport,Auto,Cash,Cancelled,1,10.06,280.58,4.86,4.53,7.84,6,1,0,0,27.890656063618287,Customer changed plans,High fare
93,2024-01-02 06:40:00,Chennai,Tech Park,Market,Mini,Cash,Cancelled,1,8.51,220.92,4.35,4.43,6.96,6,1,0,0,25.960047003525265,Driver not moving,Driver asked to cancel
94,2024-01-02 07:00:00,Delhi,Railway Station,Residential,Auto,Card,Completed,0,2.21,79.77,4.02,3.64,4.22,7,1,0,0,36.09502262443439,,
95,2024-01-02 07:20:00,Delhi,Mall,University,Auto,UPI,Cancelled,1,21.4,477.93,4.22,3.98,3.01,7,1,0,0,22.33317757009346,Customer changed plans,Driver not moving
96,2024-01-02 07:40:00,Hyderabad,Hospital,Airport,Mini,Card,Cancelled,1,5.56,159.67,4.42,4.13,1.42,7,1,0,0,28.717625899280577,High fare,Driver not moving
97,2024-01-02 08:00:00,Hyderabad,Airport,Hospital,Bike,Wallet,Cancelled,1,2.9,115.01,4.2,4.75,15.15,8,1,0,1,39.65862068965517,High fare,High fare
98,2024-01-02 08:20:00,Chennai,University,Tech Park,Mini,Cash,Cancelled,1,11.56,244.02,4.23,4.82,9.83,8,1,0,1,21.108996539792383,Customer changed plans,Driver not moving
99,2024-01-02 08:40:00,Chennai,Railway Station,University,Mini,Card,Cancelled,1,7.44,203.71,4.58,4.59,3.89,8,1,0,1,27.38037634408602,Customer changed plans,Long wait time
100,2024-01-02 09:00:00,Pune,Residential,Residential,Bike,UPI,Cancelled,1,9.47,172.2,4.28,4.0,1.18,9,1,0,1,18.183738120380145,Driver asked to cancel,Long wait time
101,2024-01-02 09:20:00,Chennai,Residential,Railway Station,Auto,Cash,Cancelled,1,7.97,226.61,4.46,4.36,7.88,9,1,0,1,28.43287327478043,Customer changed plans,Driver asked to cancel
102,2024-01-02 09:40:00,Delhi,Mall,Tech Park,Auto,Wallet,Completed,0,0.93,94.43,4.27,4.38,4.34,9,1,0,1,101.53763440860216,,
103,2024-01-02 10:00:00,Hyderabad,Market,Market,Prime Sedan,UPI,Cancelled,1,3.74,146.12,3.65,3.72,10.19,10,1,0,1,39.06951871657754,High fare,High fare
104,2024-01-02 10:20:00,Bengaluru,Hospital,Residential,Mini,Card,Cancelled,1,3.62,145.75,3.65,4.17,2.48,10,1,0,1,40.26243093922652,Driver not moving,Driver asked to cancel
105,2024-01-02 10:40:00,Hyderabad,Hospital,Railway Station,SUV,UPI,Cancelled,1,13.67,316.27,4.48,4.93,3.77,10,1,0,1,23.136064374542794,Long wait time,Driver not moving
106,2024-01-02 11:00:00,Delhi,Hospital,Market,Auto,Cash,Completed,0,7.64,184.06,4.32,3.75,4.69,11,1,0,0,24.091623036649217,,
107,2024-01-02 11:20:00,Bengaluru,Mall,Railway Station,Mini,UPI,Completed,0,10.47,158.88,4.4,4.39,8.65,11,1,0,0,15.174785100286533,,
108,2024-01-02 11:40:00,Chennai,Residential,Mall,Bike,Card,Completed,0,5.82,158.35,4.45,4.26,3.23,11,1,0,0,27.20790378006873,,
109,2024-01-02 12:00:00,Chennai,Market,Hospital,Bike,Wallet,Cancelled,1,10.81,235.99,4.43,3.84,7.95,12,1,0,0,21.83071230342276,Long wait time,Driver not moving
110,2024-01-02 12:20:00,Pune,University,Mall,Mini,UPI,Completed,0,6.65,157.86,4.33,4.57,1.51,12,1,0,0,23.738345864661653,,
111,2024-01-02 12:40:00,Pune,Hospital,Market,Auto,Wallet,Completed,0,6.31,140.56,4.8,4.0,5.21,12,1,0,0,22.2757527733756,,
112,2024-01-02 13:00:00,Chennai,Airport,Tech Park,Bike,Wallet,Cancelled,1,8.47,166.21,4.42,4.79,13.83,13,1,0,0,19.623376623376625,Driver not moving,Customer changed plans
113,2024-01-02 13:20:00,Bengaluru,Mall,Market,Bike,Card,Cancelled,1,7.97,180.9,4.43,5.0,17.78,13,1,0,0,22.697616060225847,High fare,High fare
114,2024-01-02 13:40:00,Hyderabad,University,University,Mini,UPI,Completed,0,31.41,609.72,4.17,4.28,11.35,13,1,0,0,19.411652340019103,,
115,2024-01-02 14:00:00,Mumbai,University,Airport,Mini,Cash,Completed,0,3.71,98.08,3.94,5.0,1.14,14,1,0,0,26.4366576819407,,
116,2024-01-02 14:20:00,Chennai,Residential,University,Auto,Card,Completed,0,1.98,85.92,5.0,4.31,4.83,14,1,0,0,43.3939393939394,,
117,2024-01-02 14:40:00,Mumbai,Residential,Mall,Mini,Cash,Completed,0,9.33,183.68,4.64,3.28,5.33,14,1,0,0,19.68703108252948,,
118,2024-01-02 15:00:00,Bengaluru,University,Mall,Prime Sedan,Cash,Completed,0,4.15,116.25,4.44,4.12,10.39,15,1,0,0,28.012048192771083,,
119,2024-01-02 15:20:00,Delhi,University,Railway Station,Prime Sedan,Card,Completed,0,0.81,60.63,4.27,4.22,5.95,15,1,0,0,74.85185185185185,,
120,2024-01-02 15:40:00,Chennai,University,Airport,Mini,UPI,Completed,0,3.04,88.17,4.57,5.0,2.34,15,1,0,0,29.00328947368421,,
121,2024-01-02 16:00:00,Pune,Residential,Railway Station,SUV,UPI,Cancelled,1,27.24,341.02,4.17,4.3,11.47,16,1,0,0,12.519089574155654,Long wait time,High fare
122,2024-01-02 16:20:00,Mumbai,Airport,Hospital,Bike,Wallet,Completed,0,3.63,103.17,4.6,3.27,16.34,16,1,0,0,28.421487603305785,,
123,2024-01-02 16:40:00,Bengaluru,Airport,Airport,Mini,Wallet,Completed,0,1.39,69.33,4.87,4.44,9.33,16,1,0,0,49.87769784172662,,
124,2024-01-02 17:00:00,Bengaluru,Railway Station,Hospital,SUV,UPI,Completed,0,26.19,568.91,4.32,4.3,3.11,17,1,0,1,21.722413134784265,,
125,2024-01-02 17:20:00,Pune,Airport,Hospital,Bike,Cash,Cancelled,1,2.93,93.05,4.89,4.17,18.89,17,1,0,1,31.75767918088737,Driver asked to cancel,Driver not moving
126,2024-01-02 17:40:00,Delhi,Tech Park,University,SUV,UPI,Cancelled,1,37.25,721.73,4.26,4.25,9.92,17,1,0,1,19.375302013422814,Driver asked to cancel,High fare
127,2024-01-02 18:00:00,Pune,Hospital,Railway Station,Bike,Wallet,Cancelled,1,5.63,206.56,3.73,4.77,8.83,18,1,0,1,36.68916518650089,Long wait time,High fare
128,2024-01-02 18:20:00,Bengaluru,Residential,Hospital,Auto,Cash,Completed,0,21.46,402.65,4.64,4.32,15.87,18,1,0,1,18.762814538676604,,
129,2024-01-02 18:40:00,Mumbai,Market,University,Prime Sedan,Wallet,Completed,0,6.2,202.12,4.31,4.34,10.1,18,1,0,1,32.6,,
130,2024-01-02 19:00:00,Chennai,Hospital,Railway Station,Auto,Wallet,Cancelled,1,10.1,282.95,4.64,4.02,4.98,19,1,0,1,28.014851485148515,Driver asked to cancel,High fare
131,2024-01-02 19:20:00,Hyderabad,University,Tech Park,Mini,Cash,Cancelled,1,6.76,174.2,3.96,3.68,14.57,19,1,0,1,25.76923076923077,Customer changed plans,Driver asked to cancel
132,2024-01-02 19:40:00,Mumbai,Market,Mall,Prime Sedan,Card,Completed,0,6.24,170.7,4.18,4.34,2.56,19,1,0,1,27.355769230769223,,
133,2024-01-02 20:00:00,Chennai,Mall,Railway Station,Auto,Wallet,Cancelled,1,8.81,231.83,4.82,4.0,2.99,20,1,0,1,26.314415437003404,Driver not moving,Customer changed plans
134,2024-01-02 20:20:00,Hyderabad,Railway Station,Airport,Auto,Cash,Cancelled,1,10.35,222.27,4.45,4.32,3.61,20,1,0,1,21.47536231884058,High fare,Driver asked to cancel
135,2024-01-02 20:40:00,Hyderabad,Airport,Tech Park,Mini,Wallet,Cancelled,1,8.35,186.1,4.87,3.34,6.09,20,1,0,1,22.2874251497006,High fare,Driver not moving
136,2024-01-02 21:00:00,Hyderabad,Airport,Railway Station,Prime Sedan,Card,Cancelled,1,7.76,196.94,4.13,4.3,6.77,21,1,0,1,25.378865979381445,High fare,Long wait time
137,2024-01-02 21:20:00,Hyderabad,Mall,Railway Station,Auto,Card,Cancelled,1,4.18,134.97,5.0,4.22,4.73,21,1,0,1,32.28947368421053,Driver not moving,Customer changed plans
138,2024-01-02 21:40:00,Bengaluru,Airport,Mall,Prime Sedan,Card,Completed,0,6.95,193.35,5.0,4.28,4.91,21,1,0,1,27.820143884892087,,
139,2024-01-02 22:00:00,Delhi,Tech Park,University,Auto,Card,Cancelled,1,19.79,381.43,4.61,4.36,7.01,22,1,0,0,19.273875694795358,Customer changed plans,High fare
140,2024-01-02 22:20:00,Delhi,Airport,Market,Auto,Wallet,Completed,0,4.02,130.66,4.4,4.47,2.56,22,1,0,0,32.50248756218906,,
141,2024-01-02 22:40:00,Pune,University,Mall,Auto,Wallet,Cancelled,1,8.99,211.94,4.5,4.5,8.3,22,1,0,0,23.57508342602892,Long wait time,High fare
142,2024-01-02 23:00:00,Pune,Market,Market,SUV,UPI,Completed,0,16.05,326.25,4.72,4.17,1.0,23,1,0,0,20.32710280373832,,
143,2024-01-02 23:20:00,Mumbai,Airport,Tech Park,Bike,Cash,Completed,0,10.41,179.77,4.44,4.67,5.5,23,1,0,0,17.26897214217099,,
144,2024-01-02 23:40:00,Delhi,Railway Station,University,Prime Sedan,Card,Cancelled,1,13.77,203.77,4.23,4.21,3.58,23,1,0,0,14.798111837327523,Driver asked to cancel,Customer changed plans
145,2024-01-03 00:00:00,Mumbai,Tech Park,Airport,Mini,Cash,Completed,0,2.89,90.44,3.99,3.64,18.39,0,2,0,0,31.294117647058822,,
146,2024-01-03 00:20:00,Hyderabad,Mall,Mall,Prime Sedan,Wallet,Cancelled,1,9.0,217.01,3.59,4.57,4.45,0,2,0,0,24.112222222222226,Driver not moving,Customer changed plans
147,2024-01-03 00:40:00,Delhi,Airport,Tech Park,SUV,Wallet,Cancelled,1,5.98,179.16,4.25,4.16,6.11,0,2,0,0,29.959866220735783,Customer changed plans,Driver not moving
148,2024-01-03 01:00:00,Mumbai,Residential,Tech Park,SUV,UPI,Cancelled,1,6.17,154.62,3.63,4.08,4.62,1,2,0,0,25.059967585089144,Long wait time,Customer changed plans
149,2024-01-03 01:20:00,Pune,Hospital,Hospital,Bike,Wallet,Completed,0,18.74,451.25,4.3,4.91,2.17,1,2,0,0,24.079509071504805,,
150,2024-01-03 01:40:00,Pune,Market,Railway Station,Mini,UPI,Completed,0,6.25,134.62,4.9,4.15,2.09,1,2,0,0,21.5392,,
151,2024-01-03 02:00:00,Pune,Mall,Airport,Auto,Wallet,Cancelled,1,9.2,207.13,4.33,4.38,1.76,2,2,0,0,22.51413043478261,Driver not moving,Driver asked to cancel
152,2024-01-03 02:20:00,Bengaluru,Mall,Mall,SUV,UPI,Completed,0,1.39,62.62,4.02,4.72,5.44,2,2,0,0,45.05035971223022,,
153,2024-01-03 02:40:00,Pune,Tech Park,Tech Park,Prime Sedan,Cash,Cancelled,1,21.44,370.63,4.17,4.01,4.31,2,2,0,0,17.28684701492537,Driver not moving,Driver asked to cancel
154,2024-01-03 03:00:00,Bengaluru,Railway Station,Mall,Auto,UPI,Cancelled,1,13.25,318.2,4.06,4.58,1.12,3,2,0,0,24.01509433962264,High fare,High fare
