Booking ID,Date,Time,City,Pickup Location,Drop Location,Vehicle Type,Ride Distance,Booking Value,Driver Ratings,Customer Rating,Payment Method,Wait Time,Booking Status,Cancelled Rides by Customer,Cancelled Rides by Driver,Reason for cancelling by Customer,Reason for cancelling by Driver
22,2024-01-01,07:00:00,Hyderabad,Residential,Tech Park,SUV,8.12,192.32,4.09,3.86,Cash,7.62,Cancelled,1,0,Long wait time,Driver asked to cancel
23,2024-01-01,07:20:00,Mumbai,University,Railway Station,Bike,13.31,262.57,4.42,3.81,Wallet,9.5,Cancelled,0,0,High fare,Driver not moving
24,2024-01-01,07:40:00,Delhi,Tech Park,Railway Station,Auto,11.83,247.91,4.34,4.62,Cash,5.84,Cancelled,0,0,Driver not moving,Driver not moving
25,2024-01-01,08:00:00,Chennai,Airport,Railway Station,Bike,9.16,254.56,4.14,3.75,UPI,6.55,Cancelled,0,0,High fare,Long wait time
26,2024-01-01,08:20:00,Pune,Tech Park,Market,Mini,2.0,121.88,4.28,4.04,UPI,5.67,Cancelled,0,1,Driver not moving,High fare
27,2024-01-01,08:40:00,Delhi,Airport,Tech Park,SUV,5.18,174.0,3.89,4.71,Card,5.75,Completed,0,0,,
28,2024-01-01,09:00:00,Bengaluru,Market,Tech Park,Auto,6.06,152.61,4.58,4.06,Wallet,3.38,Cancelled,1,1,Customer changed plans,Driver asked to cancel
29,2024-01-01,09:20:00,Mumbai,Railway Station,Mall,Prime Sedan,3.66,154.27,4.21,3.94,Cash,9.33,Cancelled,0,1,Driver not moving,Driver asked to cancel
30,2024-01-01,09:40:00,Delhi,University,Market,SUV,1.53,109.09,4.2,3.93,Card,21.24,Completed,0,0,,
31,2024-01-01,10:00:00,Hyderabad,Tech Park,Airport,Auto,8.39,262.44,4.52,3.85,Card,5.83,Completed,0,0,,
32,2024-01-01,10:20:00,Delhi,Market,Residential,SUV,12.07,339.7,4.72,4.73,Cash,2.39,Cancelled,0,0,High fare,High fare
33,2024-01-01,10:40:00,Mumbai,Railway Station,Tech Park,Prime Sedan,5.72,155.78,4.35,4.33,UPI,10.88,Cancelled,1,0,Long wait time,Customer changed plans
34,2024-01-01,11:00:00,Pune,Airport,Tech Park,Mini,13.21,326.52,4.13,4.12,Wallet,15.61,Cancelled,1,0,Driver not moving,Driver asked to cancel
35,2024-01-01,11:20:00,Bengaluru,Residential,Residential,Bike,2.44,88.87,4.49,4.17,Cash,3.55,Completed,0,0,,
36,2024-01-01,11:40:00,Pune,Mall,Railway Station,Mini,3.48,97.75,4.37,4.57,Wallet,1.92,Completed,0,0,,
37,2024-01-01,12:00:00,Chennai,Airport,Mall,Bike,8.27,198.43,4.46,4.02,Wallet,8.64,Cancelled,1,1,Driver not moving,High fare
38,2024-01-01,12:20:00,Chennai,Hospital,University,Bike,5.37,127.42,4.63,4.25,Cash,5.97,Completed,0,0,,
39,2024-01-01,12:40:00,Hyderabad,Market,Market,Prime Sedan,11.43,226.43,4.29,3.83,Wallet,8.08,Cancelled,1,0,Customer changed plans,Driver asked to cancel
40,2024-01-01,13:00:00,Mumbai,Hospital,Market,Prime Sedan,10.25,207.97,4.71,4.95,Cash,5.5,Cancelled,1,0,Customer changed plans,Customer changed plans
41,2024-01-01,13:20:00,Chennai,Railway Station,Railway Station,SUV,5.65,148.85,4.15,4.44,UPI,4.63,Completed,0,0,,
42,2024-01-01,13:40:00,Pune,Residential,Hospital,Auto,2.65,92.15,4.11,3.67,Wallet,2.54,Cancelled,1,1,Driver asked to cancel,Driver asked to cancel
43,2024-01-01,14:00:00,Mumbai,Airport,Tech Park,Mini,5.18,149.69,4.66,3.99,UPI,7.34,Cancelled,1,0,High fare,Driver asked to cancel
44,2024-01-01,14:20:00,Chennai,University,University,Mini,10.41,269.24,4.5,3.96,Card,1.65,Completed,0,0,,
45,2024-01-01,14:40:00,Bengaluru,Hospital,Market,Auto,11.73,261.11,4.29,4.16,Wallet,9.3,Cancelled,0,1,Driver not moving,Long wait time
46,2024-01-01,15:00:00,Mumbai,University,Tech Park,Prime Sedan,5.38,154.43,4.34,5.0,Card,8.87,Cancelled,1,0,Long wait time,Driver not moving
47,2024-01-01,15:20:00,Pune,University,Market,Mini,1.52,71.59,4.25,4.04,Cash,7.13,Completed,0,0,,
48,2024-01-01,15:40:00,Delhi,University,University,Mini,2.32,80.33,4.28,4.16,Cash,12.82,Completed,0,0,,
49,2024-01-01,16:00:00,Chennai,Airport,Railway Station,Bike,9.87,213.94,3.92,3.91,Cash,4.3,Cancelled,0,1,Driver not moving,High fare
50,2024-01-01,16:20:00,Bengaluru,Tech Park,University,Mini,5.58,145.52,4.08,4.31,UPI,4.18,Cancelled,1,1,High fare,High fare
51,2024-01-01,16:40:00,Pune,Residential,Market,Mini,5.68,167.4,4.3,3.93,Cash,3.93,Cancelled,1,0,High fare,Driver asked to cancel
52,2024-01-01,17:00:00,Delhi,Airport,Railway Station,Mini,3.44,95.1,3.8,3.9,Cash,6.19,Completed,0,0,,
53,2024-01-01,17:20:00,Hyderabad,Hospital,University,Bike,3.39,101.44,3.59,4.02,Wallet,4.94,Completed,0,0,,
54,2024-01-01,17:40:00,Mumbai,University,Residential,Mini,13.06,274.89,3.79,4.28,Cash,3.82,Cancelled,0,0,High fare,Driver not moving
55,2024-01-01,18:00:00,Delhi,Railway Station,Mall,Mini,10.1,273.77,4.76,4.16,Wallet,4.09,Cancelled,1,1,Driver asked to cancel,High fare
56,2024-01-01,18:20:00,Chennai,Airport,Residential,Auto,4.67,161.63,5.0,4.22,Card,6.9,Completed,0,0,,
57,2024-01-01,18:40:00,Hyderabad,Market,Tech Park,Auto,7.87,216.39,4.45,4.62,Cash,11.97,Completed,0,0,,
58,2024-01-01,19:00:00,Hyderabad,Market,Railway Station,Prime Sedan,8.81,201.06,4.29,3.68,Card,3.31,Cancelled,1,1,High fare,Customer changed plans
59,2024-01-01,19:20:00,Chennai,Mall,University,Mini,20.09,387.44,4.75,4.31,UPI,1.0,Completed,0,0,,
60,2024-01-01,19:40:00,Hyderabad,Hospital,Hospital,Prime Sedan,3.15,158.02,3.97,4.76,UPI,8.5,Completed,0,0,,
61,2024-01-01,20:00:00,Mumbai,Market,Residential,Bike,8.73,225.68,4.46,4.74,Wallet,2.4,Cancelled,0,0,Customer changed plans,Customer changed plans
62,2024-01-01,20:20:00,Mumbai,Residential,Residential,Bike,13.02,357.09,4.46,4.31,Wallet,11.95,Cancelled,0,0,Long wait time,Driver not moving
63,2024-01-01,20:40:00,Delhi,Railway Station,University,SUV,18.66,408.06,4.26,4.53,Wallet,9.54,Cancelled,1,1,Customer changed plans,High fare
64,2024-01-01,21:00:00,Bengaluru,Hospital,University,SUV,4.49,136.27,3.7,4.8,UPI,10.14,Cancelled,1,0,High fare,Customer changed plans
65,2024-01-01,21:20:00,Chennai,Airport,Market,Mini,5.53,195.62,4.74,3.89,Cash,5.7,Completed,0,0,,
66,2024-01-01,21:40:00,Delhi,Mall,University,Auto,11.5,304.64,4.15,4.07,Cash,11.53,Completed,0,0,,
67,2024-01-01,22:00:00,Chennai,Railway Station,Airport,Auto,1.97,78.25,4.1,3.98,Cash,7.28,Completed,0,0,,
68,2024-01-01,22:20:00,Bengaluru,Railway Station,Mall,Prime Sedan,9.31,173.19,3.82,4.14,Card,6.86,Completed,0,0,,
69,2024-01-01,22:40:00,Pune,Railway Station,Residential,Prime Sedan,24.56,487.4,4.56,3.86,Card,6.04,Cancelled,0,0,Driver not moving,Driver not moving
70,2024-01-01,23:00:00,Chennai,Airport,Market,SUV,9.97,251.43,4.48,4.04,Wallet,7.85,Completed,0,0,,
71,2024-01-01,23:20:00,Bengaluru,Residential,Market,Bike,0.82,61.68,4.54,4.48,Card,1.39,Completed,0,0,,
72,2024-01-01,23:40:00,Pune,Mall,Tech Park,Auto,3.85,112.91,4.19,4.07,UPI,3.79,Completed,0,0,,
73,2024-01-02,00:00:00,Chennai,University,Railway Station,Bike,4.6,136.71,4.24,4.31,Card,3.79,Completed,0,0,,
74,2024-01-02,00:20:00,Mumbai,Residential,Market,Prime Sedan,14.94,274.34,4.1,3.9,Cash,5.06,Cancelled,0,1,Customer changed plans,Driver not moving
75,2024-01-02,00:40:00,Bengaluru,Residential,Residential,Mini,6.63,173.77,4.43,4.6,Wallet,2.29,Completed,0,0,,
76,2024-01-02,01:00:00,Pune,University,Railway Station,Prime Sedan,1.54,73.02,4.34,3.55,Card,3.18,Completed,0,0,,
77,2024-01-02,01:20:00,Chennai,Hospital,Residential,Prime Sedan,7.18,169.78,4.24,4.14,Wallet,1.78,Completed,0,0,,
78,2024-01-02,01:40:00,Delhi,University,Airport,Auto,8.2,239.08,3.92,4.67,UPI,3.14,Completed,0,0,,
79,2024-01-02,02:00:00,Chennai,Market,Mall,Prime Sedan,5.06,136.31,4.24,4.1,Card,2.64,Completed,0,0,,
80,2024-01-02,02:20:00,Bengaluru,Tech Park,Residential,Mini,3.34,86.54,3.83,3.86,Wallet,3.08,Completed,0,0,,
81,2024-01-02,02:40:00,Chennai,Market,University,SUV,26.18,557.01,4.13,4.75,Wallet,9.68,Completed,0,0,,
82,2024-01-02,03:00:00,Pune,Railway Station,University,Auto,13.05,372.49,4.06,3.91,UPI,5.17,Cancelled,1,1,Driver asked to cancel,Long wait time
83,2024-01-02,03:20:00,Delhi,Railway Station,Residential,Prime Sedan,13.8,238.29,4.27,4.11,Card,4.52,Cancelled,1,0,High fare,Customer changed plans
84,2024-01-02,03:40:00,Delhi,Airport,Airport,Bike,6.64,163.72,4.44,4.09,UPI,12.75,Cancelled,0,0,Customer changed plans,Long wait time
85,2024-01-02,04:00:00,Hyderabad,University,Mall,Auto,4.43,119.8,4.29,4.03,Cash,6.97,Cancelled,0,1,Driver asked to cancel,Long wait time
86,2024-01-02,04:20:00,Bengaluru,Market,Hospital,Auto,5.25,143.77,4.14,4.75,Wallet,7.38,Completed,0,0,,
87,2024-01-02,04:40:00,Bengaluru,Airport,Airport,Mini,2.43,83.42,4.26,3.57,Cash,6.05,Completed,0,0,,
88,2024-01-02,05:00:00,Mumbai,Residential,Airport,Bike,19.85,403.9,4.4,3.94,Cash,9.84,Completed,0,0,,
89,2024-01-02,05:20:00,Chennai,Residential,Airport,SUV,6.84,136.09,4.5,4.19,Card,10.91,Cancelled,1,1,Driver asked to cancel,Driver asked to cancel
90,2024-01-02,05:40:00,Bengaluru,Residential,University,SUV,17.12,395.23,4.82,4.48,UPI,6.77,Cancelled,0,0,Driver asked to cancel,Long wait time
91,2024-01-02,06:00:00,Pune,Market,Market,Prime Sedan,5.44,133.12,5.0,3.73,Wallet,9.76,Completed,0,0,,
92,2024-01-02,06:20:00,Bengaluru,Airport,Airport,Auto,10.06,280.58,4.86,4.53,Cash,7.84,Cancelled,1,0,Customer changed plans,High fare
93,2024-01-02,06:40:00,Chennai,Tech Park,Market,Mini,8.51,220.92,4.35,4.43,Cash,6.96,Cancelled,1,0,Driver not moving,Driver asked to cancel
94,2024-01-02,07:00:00,Delhi,Railway Station,Residential,Auto,2.21,79.77,4.02,3.64,Card,4.22,Completed,0,0,,
95,2024-01-02,07:20:00,Delhi,Mall,University,Auto,21.4,477.93,4.22,3.98,UPI,3.01,Cancelled,1,0,Customer changed plans,Driver not moving
96,2024-01-02,07:40:00,Hyderabad,Hospital,Airport,Mini,5.56,159.67,4.42,4.13,Card,1.42,Cancelled,1,1,High fare,Driver not moving
97,2024-01-02,08:00:00,Hyderabad,Airport,Hospital,Bike,2.9,115.01,4.2,4.75,Wallet,15.15,Cancelled,0,0,High fare,High fare
98,2024-01-02,08:20:00,Chennai,University,Tech Park,Mini,11.56,244.02,4.23,4.82,Cash,9.83,Cancelled,0,0,Customer changed plans,Driver not moving
99,2024-01-02,08:40:00,Chennai,Railway Station,University,Mini,7.44,203.71,4.58,4.59,Card,3.89,Cancelled,1,0,Customer changed plans,Long wait time
100,2024-01-02,09:00:00,Pune,Residential,Residential,Bike,9.47,172.2,4.28,4.0,UPI,1.18,Cancelled,1,0,Driver asked to cancel,Long wait time
101,2024-01-02,09:20:00,Chennai,Residential,Railway Station,Auto,7.97,226.61,4.46,4.36,Cash,7.88,Cancelled,1,1,Customer changed plans,Driver asked to cancel
102,2024-01-02,09:40:00,Delhi,Mall,Tech Park,Auto,0.93,94.43,4.27,4.38,Wallet,4.34,Completed,0,0,,
103,2024-01-02,10:00:00,Hyderabad,Market,Market,Prime Sedan,3.74,146.12,3.65,3.72,UPI,10.19,Cancelled,1,0,High fare,High fare
104,2024-01-02,10:20:00,Bengaluru,Hospital,Residential,Mini,3.62,145.75,3.65,4.17,Card,2.48,Cancelled,0,1,Driver not moving,Driver asked to cancel
105,2024-01-02,10:40:00,Hyderabad,Hospital,Railway Station,SUV,13.67,316.27,4.48,4.93,UPI,3.77,Cancelled,1,0,Long wait time,Driver not moving
106,2024-01-02,11:00:00,Delhi,Hospital,Market,Auto,7.64,184.06,4.32,3.75,Cash,4.69,Completed,0,0,,
107,2024-01-02,11:20:00,Bengaluru,Mall,Railway Station,Mini,10.47,158.88,4.4,4.39,UPI,8.65,Completed,0,0,,
108,2024-01-02,11:40:00,Chennai,Residential,Mall,Bike,5.82,158.35,4.45,4.26,Card,3.23,Completed,0,0,,
109,2024-01-02,12:00:00,Chennai,Market,Hospital,Bike,10.81,235.99,4.43,3.84,Wallet,7.95,Cancelled,1,1,Long wait time,Driver not moving
110,2024-01-02,12:20:00,Pune,University,Mall,Mini,6.65,157.86,4.33,4.57,UPI,1.51,Completed,0,0,,
111,2024-01-02,12:40:00,Pune,Hospital,Market,Auto,6.31,140.56,4.8,4.0,Wallet,5.21,Completed,0,0,,
112,2024-01-02,13:00:00,Chennai,Airport,Tech Park,Bike,8.47,166.21,4.42,4.79,Wallet,13.83,Cancelled,0,0,Driver not moving,Customer changed plans
113,2024-01-02,13:20:00,Bengaluru,Mall,Market,Bike,7.97,180.9,4.43,5.0,Card,17.78,Cancelled,0,0,High fare,High fare
114,2024-01-02,13:40:00,Hyderabad,University,University,Mini,31.41,609.72,4.17,4.28,UPI,11.35,Completed,0,0,,
115,2024-01-02,14:00:00,Mumbai,University,Airport,Mini,3.71,98.08,3.94,5.0,Cash,1.14,Completed,0,0,,
116,2024-01-02,14:20:00,Chennai,Residential,University,Auto,1.98,85.92,5.0,4.31,Card,4.83,Completed,0,0,,
117,2024-01-02,14:40:00,Mumbai,Residential,Mall,Mini,9.33,183.68,4.64,3.28,Cash,5.33,Completed,0,0,,
118,2024-01-02,15:00:00,Bengaluru,University,Mall,Prime Sedan,4.15,116.25,4.44,4.12,Cash,10.39,Completed,0,0,,
119,2024-01-02,15:20:00,Delhi,University,Railway Station,Prime Sedan,0.81,60.63,4.27,4.22,Card,5.95,Completed,0,0,,
120,2024-01-02,15:40:00,Chennai,University,Airport,Mini,3.04,88.17,4.57,5.0,UPI,2.34,Completed,0,0,,
121,2024-01-02,16:00:00,Pune,Residential,Railway Station,SUV,27.24,341.02,4.17,4.3,UPI,11.47,Cancelled,0,1,Long wait time,High fare
122,2024-01-02,16:20:00,Mumbai,Airport,Hospital,Bike,3.63,103.17,4.6,3.27,Wallet,16.34,Completed,0,0,,
123,2024-01-02,16:40:00,Bengaluru,Airport,Airport,Mini,1.39,69.33,4.87,4.44,Wallet,9.33,Completed,0,0,,
124,2024-01-02,17:00:00,Bengaluru,Railway Station,Hospital,SUV,26.19,568.91,4.32,4.3,UPI,3.11,Completed,0,0,,
125,2024-01-02,17:20:00,Pune,Airport,Hospital,Bike,2.93,93.05,4.89,4.17,Cash,18.89,Cancelled,0,1,Driver asked to cancel,Driver not moving
126,2024-01-02,17:40:00,Delhi,Tech Park,University,SUV,37.25,721.73,4.26,4.25,UPI,9.92,Cancelled,1,0,Driver asked to cancel,High fare
127,2024-01-02,18:00:00,Pune,Hospital,Railway Station,Bike,5.63,206.56,3.73,4.77,Wallet,8.83,Cancelled,0,0,Long wait time,High fare
128,2024-01-02,18:20:00,Bengaluru,Residential,Hospital,Auto,21.46,402.65,4.64,4.32,Cash,15.87,Completed,0,0,,
129,2024-01-02,18:40:00,Mumbai,Market,University,Prime Sedan,6.2,202.12,4.31,4.34,Wallet,10.1,Completed,0,0,,
130,2024-01-02,19:00:00,Chennai,Hospital,Railway Station,Auto,10.1,282.95,4.64,4.02,Wallet,4.98,Cancelled,1,1,Driver asked to cancel,High fare
131,2024-01-02,19:20:00,Hyderabad,University,Tech Park,Mini,6.76,174.2,3.96,3.68,Cash,14.57,Cancelled,0,1,Customer changed plans,Driver asked to cancel
132,2024-01-02,19:40:00,Mumbai,Market,Mall,Prime Sedan,6.24,170.7,4.18,4.34,Card,2.56,Completed,0,0,,
133,2024-01-02,20:00:00,Chennai,Mall,Railway Station,Auto,8.81,231.83,4.82,4.0,Wallet,2.99,Cancelled,1,0,Driver not moving,Customer changed plans
134,2024-01-02,20:20:00,Hyderabad,Railway Station,Airport,Auto,10.35,222.27,4.45,4.32,Cash,3.61,Cancelled,1,1,High fare,Driver asked to cancel
135,2024-01-02,20:40:00,Hyderabad,Airport,Tech Park,Mini,8.35,186.1,4.87,3.34,Wallet,6.09,Cancelled,0,0,High fare,Driver not moving
136,2024-01-02,21:00:00,Hyderabad,Airport,Railway Station,Prime Sedan,7.76,196.94,4.13,4.3,Card,6.77,Cancelled,1,0,High fare,Long wait time
137,2024-01-02,21:20:00,Hyderabad,Mall,Railway Station,Auto,4.18,134.97,5.0,4.22,Card,4.73,Cancelled,1,1,Driver not moving,Customer changed plans
138,2024-01-02,21:40:00,Bengaluru,Airport,Mall,Prime Sedan,6.95,193.35,5.0,4.28,Card,4.91,Completed,0,0,,
139,2024-01-02,22:00:00,Delhi,Tech Park,University,Auto,19.79,381.43,4.61,4.36,Card,7.01,Cancelled,0,1,Customer changed plans,High fare
140,2024-01-02,22:20:00,Delhi,Airport,Market,Auto,4.02,130.66,4.4,4.47,Wallet,2.56,Completed,0,0,,
141,2024-01-02,22:40:00,Pune,University,Mall,Auto,8.99,211.94,4.5,4.5,Wallet,8.3,Cancelled,0,0,Long wait time,High fare
142,2024-01-02,23:00:00,Pune,Market,Market,SUV,16.05,326.25,4.72,4.17,UPI,1.0,Completed,0,0,,
143,2024-01-02,23:20:00,Mumbai,Airport,Tech Park,Bike,10.41,179.77,4.44,4.67,Cash,5.5,Completed,0,0,,
144,2024-01-02,23:40:00,Delhi,Railway Station,University,Prime Sedan,13.77,203.77,4.23,4.21,Card,3.58,Cancelled,1,1,Driver asked to cancel,Customer changed plans
145,2024-01-03,00:00:00,Mumbai,Tech Park,Airport,Mini,2.89,90.44,3.99,3.64,Cash,18.39,Completed,0,0,,
146,2024-01-03,00:20:00,Hyderabad,Mall,Mall,Prime Sedan,9.0,217.01,3.59,4.57,Wallet,4.45,Cancelled,1,0,Driver not moving,Customer changed plans
147,2024-01-03,00:40:00,Delhi,Airport,Tech Park,SUV,5.98,179.16,4.25,4.16,Wallet,6.11,Cancelled,1,0,Customer changed plans,Driver not moving
148,2024-01-03,01:00:00,Mumbai,Residential,Tech Park,SUV,6.17,154.62,3.63,4.08,UPI,4.62,Cancelled,1,0,Long wait time,Customer changed plans
149,2024-01-03,01:20:00,Pune,Hospital,Hospital,Bike,18.74,451.25,4.3,4.91,Wallet,2.17,Completed,0,0,,
150,2024-01-03,01:40:00,Pune,Market,Railway Station,Mini,6.25,134.62,4.9,4.15,UPI,2.09,Completed,0,0,,
151,2024-01-03,02:00:00,Pune,Mall,Airport,Auto,9.2,207.13,4.33,4.38,Wallet,1.76,Cancelled,0,0,Driver not moving,Driver asked to cancel
152,2024-01-03,02:20:00,Bengaluru,Mall,Mall,SUV,1.39,62.62,4.02,4.72,UPI,5.44,Completed,0,0,,
153,2024-01-03,02:40:00,Pune,Tech Park,Tech Park,Prime Sedan,21.44,370.63,4.17,4.01,Cash,4.31,Cancelled,0,0,Driver not moving,Driver asked to cancel
154,2024-01-03,03:00:00,Bengaluru,Railway Station,Mall,Auto,13.25,318.2,4.06,4.58,UPI,1.12,Cancelled,0,1,High fare,High fare
155,2024-01-03,03:20:00,Mumbai,Railway Station,University,Bike,7.14,155.6,4.95,4.33,UPI,16.8,Cancelled,0,0,Driver asked to cancel,Customer changed plans
156,2024-01-03,03:40:00,Pune,University,Mall,Bike,5.78,128.9,4.12,4.84,Wallet,8.83,Completed,0,0,,
157,2024-01-03,04:00:00,Delhi,Residential,Hospital,Mini,11.12,200.34,3.72,4.0,UPI,6.2,Completed,0,0,,
158,2024-01-03,04:20:00,Mumbai,Residential,University,Auto,15.93,355.75,5.0,3.96,Cash,1.0,Cancelled,0,1,Driver asked to cancel,Driver not moving
159,2024-01-03,04:40:00,Delhi,Hospital,Railway Station,Prime Sedan,21.63,456.95,4.28,4.38,Wallet,7.37,Completed,0,0,,
160,2024-01-03,05:00:00,Pune,University,Mall,Auto,12.97,266.0,4.04,3.81,UPI,5.95,Cancelled,0,0,Long wait time,Customer changed plans
161,2024-01-03,05:20:00,Bengaluru,Tech Park,Residential,Prime Sedan,7.84,179.24,4.35,4.81,Wallet,10.11,Cancelled,1,0,Customer changed plans,Driver asked to cancel
162,2024-01-03,05:40:00,Chennai,Hospital,Hospital,SUV,14.29,226.06,4.27,4.12,Card,3.04,Cancelled,1,0,Driver not moving,Driver not moving
163,2024-01-03,06:00:00,Delhi,Railway Station,Railway Station,Auto,12.61,230.28,4.51,5.0,Cash,3.77,Cancelled,1,0,Driver not moving,Long wait time
164,2024-01-03,06:20:00,Pune,Market,Residential,Prime Sedan,7.86,196.93,4.29,3.8,Card,6.64,Cancelled,1,1,Customer changed plans,Long wait time
165,2024-01-03,06:40:00,Pune,Tech Park,Residential,Mini,12.37,261.41,3.6,4.72,Card,3.65,Cancelled,0,0,Customer changed plans,Customer changed plans
166,2024-01-03,07:00:00,Delhi,University,Tech Park,Prime Sedan,12.21,256.79,4.29,4.14,Cash,7.3,Cancelled,1,1,Driver asked to cancel,Long wait time
167,2024-01-03,07:20:00,Pune,Tech Park,Market,Auto,7.11,179.75,4.66,3.98,Cash,2.11,Completed,0,0,,
168,2024-01-03,07:40:00,Chennai,Airport,Airport,Prime Sedan,4.98,123.28,4.16,4.45,Wallet,5.12,Completed,0,0,,
169,2024-01-03,08:00:00,Hyderabad,Mall,Hospital,Prime Sedan,11.52,331.15,4.6,4.31,UPI,3.08,Cancelled,1,1,High fare,Driver not moving
170,2024-01-03,08:20:00,Delhi,Airport,University,Auto,3.18,115.53,4.68,4.5,Cash,9.76,Cancelled,1,0,Driver not moving,Driver asked to cancel
171,2024-01-03,08:40:00,Delhi,Railway Station,Railway Station,SUV,2.6,116.55,4.76,3.93,Card,19.54,Completed,0,0,,
172,2024-01-03,09:00:00,Chennai,Railway Station,University,SUV,9.3,251.58,3.99,3.55,Wallet,16.43,Cancelled,0,1,Customer changed plans,Driver not moving
173,2024-01-03,09:20:00,Hyderabad,Market,Residential,SUV,11.31,279.88,4.02,4.54,Cash,1.0,Cancelled,0,1,High fare,Driver not moving
174,2024-01-03,09:40:00,Hyderabad,Airport,Railway Station,Bike,9.26,159.08,4.36,3.95,Cash,7.76,Cancelled,0,0,Customer changed plans,High fare
175,2024-01-03,10:00:00,Bengaluru,University,Mall,Bike,9.96,272.47,3.72,4.27,UPI,3.04,Cancelled,0,0,Customer changed plans,Customer changed plans
176,2024-01-03,10:20:00,Hyderabad,Mall,Market,Prime Sedan,11.18,243.42,3.97,4.53,Cash,2.06,Cancelled,0,1,Driver not moving,Driver not moving
177,2024-01-03,10:40:00,Chennai,Residential,Market,Auto,18.79,476.56,4.45,4.32,Wallet,7.61,Cancelled,0,0,Long wait time,Long wait time
178,2024-01-03,11:00:00,Delhi,Tech Park,Airport,Auto,13.11,231.3,3.62,4.16,UPI,2.06,Completed,0,0,,
179,2024-01-03,11:20:00,Hyderabad,Airport,Railway Station,Auto,12.86,290.05,3.72,4.0,Card,11.92,Cancelled,1,0,Long wait time,High fare
180,2024-01-03,11:40:00,Bengaluru,Residential,Mall,Auto,8.81,180.12,4.53,4.74,Cash,7.73,Completed,0,0,,
181,2024-01-03,12:00:00,Mumbai,Mall,Market,Bike,9.04,153.73,3.78,4.6,Cash,10.29,Completed,0,0,,
182,2024-01-03,12:20:00,Pune,University,Airport,Prime Sedan,6.69,156.05,5.0,4.77,Card,6.65,Completed,0,0,,
